panel,uno_c_mean,uno_c_std,integrated_brier_mean,integrated_brier_std,paired_uno_c_improvement,paired_uno_c_ci95_low,paired_uno_c_ci95_high,paired_integrated_brier_improvement,paired_integrated_brier_ci95_low,paired_integrated_brier_ci95_high
clinical,0.5925779181853262,0.0969072149053355,0.2244218917520839,0.0836796351113325,,,,,,
clinical_plus_pathway,0.5887152444283807,0.0956078065035042,0.2262784528043513,0.0892346139688059,-0.0038626737569455,-0.0322794179773447,0.0277465517352293,-0.0018565610522674,-0.0068804235689951,0.0032625591612362
clinical_plus_recast,0.5597581932712634,0.118427864790616,0.2342076465244634,0.0913966627247875,-0.0328197249140629,-0.0485778962097997,-0.019183843747141,-0.0097857547723795,-0.0133415982629161,-0.0063063699092231
full,0.5714116117355759,0.0913502616741016,0.2296867951027955,0.0964435101845261,-0.0211663064497503,-0.0437886066257092,0.0014692923866337,-0.0052649033507116,-0.0120871572767975,0.0012031237546068
