model_label,model,harrell_c_mean,harrell_c_std,uno_c_mean,uno_c_std,integrated_brier_mean,integrated_brier_std,uno_c_count,uno_c_rank
Elastic-net Cox,elastic_net_cox,0.5990188047741705,0.0765553670938625,0.6000133573217064,0.0879597157221005,0.227414892311351,0.0823380974649461,50,1
SurvPFN (June 2026),survpfn,0.59197180553295,0.0739607668027495,0.5930341554709406,0.0880494247954373,0.2384488484705158,0.0652988169542582,50,2
SurvivalPFN,survivalpfn,0.6150846209571516,0.0813224232804415,0.5925779181853262,0.0969072149053355,0.2244218917520839,0.0836796351113325,50,3
Random survival forest,random_survival_forest,0.5807783616649609,0.0686022231448274,0.5920958631149912,0.0852523645632195,0.2211385776434872,0.0746329091023875,50,4
XGBoost-AFT,xgb_aft,0.5695846018015422,0.0834769808797584,0.5435281452225997,0.0915951520247905,0.2361891215856115,0.1077765559937148,50,5
