scenario,method,method_label,donors,mixtures,state_mae_mean,state_mae_ci95_low,state_mae_ci95_high,jensen_shannon_mean,jensen_shannon_ci95_low,jensen_shannon_ci95_high,state_spearman_mean,state_spearman_ci95_low,state_spearman_ci95_high
heldout_donor_clean,nu_svr,CIBERSORT-style nu-SVR,67,335,0.050442152306428,0.0483816692218952,0.0527389956902294,0.1138254851710757,0.1070982202804842,0.1205861420134104,0.7310498858422223,0.7180631091945158,0.7441534645750216
heldout_donor_clean,ordinary_nnls,Ordinary NNLS,67,335,0.0519027105505875,0.0494094025468225,0.0542806774184764,0.1194799831306906,0.1111379520111332,0.1271502320387363,0.724882822013528,0.7112970943766072,0.7398558051580566
heldout_donor_clean,ridge_nnls,Ridge NNLS,67,335,0.066209915327434,0.0640512525653052,0.0684660786553941,0.1738549570197329,0.1661520363433894,0.1810368896726261,0.7010304670098707,0.6899218232949462,0.7117748717979749
heldout_donor_clean,robust_nnls_hpa,HPA-weighted robust NNLS (ReCAST),67,335,0.0505795222423608,0.0481186428870131,0.0530644798438487,0.1149475310863228,0.1068904850785266,0.122772865274249,0.7248591260826923,0.7093898974901836,0.7396223039982107
heldout_donor_clean,simplex_nnls,Simplex-constrained NNLS,67,335,0.0443172230156039,0.0419925623377974,0.046585538203045,0.0941764570117863,0.0870965004756347,0.100985997041613,0.6997900783620561,0.6865722241325549,0.7125394423583961
heldout_donor_clean,unbalanced_ot_hpa,HPA-weighted unbalanced OT,67,335,0.1008236146791895,0.0991639685168916,0.1024489430295779,0.3253477827141036,0.318006249063447,0.3333125614907122,0.4703621666189664,0.4442175108167009,0.4943556050855227
heldout_donor_platform_shift,nu_svr,CIBERSORT-style nu-SVR,67,335,0.0488519236506939,0.0469796777225626,0.0507689849010185,0.1093201063292528,0.1034215393711873,0.1150029422415132,0.7244388953771933,0.7119029439869561,0.736437010097423
heldout_donor_platform_shift,ordinary_nnls,Ordinary NNLS,67,335,0.0516200035678084,0.0493342730234089,0.0540001612186068,0.119483309204687,0.1115720252298076,0.1271442799487362,0.7142493137220954,0.6976769012959312,0.730970493142389
heldout_donor_platform_shift,ridge_nnls,Ridge NNLS,67,335,0.0659193877735818,0.0637864118095681,0.067922318175264,0.1735029659169191,0.1659055344132014,0.1811013309758153,0.6958487112401978,0.6853460229069737,0.7066194636183156
heldout_donor_platform_shift,robust_nnls_hpa,HPA-weighted robust NNLS (ReCAST),67,335,0.0508094847689782,0.0485521469850008,0.0532236565599918,0.1169362366071647,0.1091114366441198,0.124729944494323,0.7149079926591492,0.6986292248805127,0.7315335040665207
heldout_donor_platform_shift,simplex_nnls,Simplex-constrained NNLS,67,335,0.0442563749751363,0.0419492178147278,0.0466594615678327,0.0951597109702881,0.0883526454306436,0.1021812198487263,0.6816162473293725,0.6672256357343975,0.6960291320257467
heldout_donor_platform_shift,unbalanced_ot_hpa,HPA-weighted unbalanced OT,67,335,0.1010137270484521,0.0993945344226347,0.1026966950836826,0.3264867583891011,0.3191094449660309,0.3339016723178167,0.4537985690666297,0.4279545652125922,0.4784644536789378
