Feature,Family,Log hazard ratio per sd,Hazard ratio per sd,Ci95 low,Ci95 high,P value,Penalizer,N,Events,Error,Fdr bh,Internal log hr,Internal fdr bh,Direction concordant
CTLA4,external_gene,0.0215,1.0217,0.7929,1.3164,0.8682,0.05,60,33,,0.9507,0.0507,0.9865,True
KLRD1,external_gene,0.0655,1.0677,0.7807,1.4601,0.6818,0.05,60,33,,0.9507,-0.0433,0.9865,False
CD8B,external_gene,0.0458,1.0468,0.7675,1.4278,0.7726,0.05,60,33,,0.9507,0.0442,0.9865,True
CD24,external_gene,-0.205,0.8146,0.6309,1.052,0.116,0.05,60,33,,0.8702,0.0369,0.9865,False
BTK,external_gene,-0.0748,0.9279,0.678,1.27,0.6404,0.05,60,33,,0.9507,0.03,0.9865,False
S100A7,external_gene,-0.0702,0.9322,0.6928,1.2543,0.6429,0.05,60,33,,0.9507,-0.0375,0.9865,True
RGS5,external_gene,0.1586,1.1719,0.8561,1.6042,0.3222,0.05,60,33,,0.9507,-0.0353,0.9865,False
COL1A2,external_gene,0.0966,1.1015,0.8237,1.473,0.5146,0.05,60,33,,0.9507,0.0248,0.9865,True
SLC18A2,external_gene,0.0184,1.0185,0.7431,1.3961,0.9091,0.05,60,33,,0.9507,-0.0296,0.9865,False
COL15A1,external_gene,0.0792,1.0824,0.7812,1.4998,0.634,0.05,60,33,,0.9507,-0.0269,0.9865,False
CTHRC1,external_gene,0.1642,1.1785,0.8993,1.5443,0.2337,0.05,60,33,,0.9507,0.0206,0.9865,True
SPIB,external_gene,0.0308,1.0313,0.7489,1.4201,0.8503,0.05,60,33,,0.9507,0.0234,0.9865,True
OLR1,external_gene,-0.0763,0.9265,0.6633,1.2941,0.6543,0.05,60,33,,0.9507,0.0182,0.9865,False
FPR1,external_gene,-0.2278,0.7963,0.6265,1.0121,0.0626,0.05,60,33,,0.8702,-0.0132,0.9865,True
BGN,external_gene,0.2467,1.2798,0.8933,1.8336,0.1787,0.05,60,33,,0.9507,0.01,0.9865,True
BANK1,external_gene,0.0151,1.0152,0.7822,1.3176,0.9095,0.05,60,33,,0.9507,-0.0091,0.9865,False
VMO1,external_gene,-0.2147,0.8068,0.6017,1.0816,0.1512,0.05,60,33,,0.9507,0.0058,0.9865,False
FCGR2B,external_gene,-0.1416,0.868,0.633,1.1901,0.3792,0.05,60,33,,0.9507,0.0078,0.9865,False
RAMP2,external_gene,0.1072,1.1131,0.8287,1.4952,0.4765,0.05,60,33,,0.9507,0.0079,0.9865,True
CNRIP1,external_gene,0.0093,1.0094,0.7626,1.3359,0.9481,0.05,60,33,,0.9507,-0.0059,0.9865,False
TM4SF1,external_gene,0.217,1.2423,0.9734,1.5854,0.0813,0.05,60,33,,0.8702,0.0066,0.9865,True
ESAM,external_gene,0.0847,1.0884,0.8243,1.4372,0.5501,0.05,60,33,,0.9507,0.0077,0.9865,True
SPARCL1,external_gene,0.1836,1.2015,0.9019,1.6006,0.2096,0.05,60,33,,0.9507,0.0027,0.9865,True
DCN,external_gene,0.0403,1.0411,0.807,1.343,0.7567,0.05,60,33,,0.9507,0.0016,0.9865,True
CLDN4,external_gene,0.1592,1.1726,0.8852,1.5534,0.2671,0.05,60,33,,0.9507,-0.0029,0.9865,False
