model,interaction_log_hr,interaction_hr,ci95_low,ci95_high,p_value,fdr_bh
elastic_net_cox,0.36907687692884106,1.4463987940978655,0.9464331506224611,2.2104778030987426,0.08809217309165422,0.17535397744060563
random_survival_forest,0.19481384408930358,1.2150847702226624,0.779203699378078,1.8947946474143726,0.39012036598864885,0.39012036598864885
survivalpfn,0.3180712422267777,1.3744741783407166,0.8750116665375011,2.159033232552245,0.16744014348988084,0.20930017936235107
survpfn,0.49978766718532347,1.648371230235957,1.064348866225174,2.552854424796057,0.025130270201557118,0.1256513510077856
xgb_aft,0.3703829911213478,1.4482891903588133,0.9252411669241923,2.2670214576412646,0.10521238646436337,0.17535397744060563
