dataset,model,horizon_days,threshold_probability,net_benefit,treat_all_net_benefit
GSE53625_locked_external,survivalpfn,365,0.5,0.016666666666666666,-0.5
GSE53625_locked_external,survivalpfn,365,0.525,0.0,-0.5789473684210528
GSE53625_locked_external,survivalpfn,365,0.55,0.0,-0.6666666666666669
GSE53625_locked_external,survivalpfn,365,0.575,0.0,-0.7647058823529409
GSE53625_locked_external,survivalpfn,365,0.6,0.0,-0.8749999999999998
GSE53625_locked_external,survivalpfn,1095,0.05,0.42105263157894735,0.42105263157894735
GSE53625_locked_external,survivalpfn,1095,0.075,0.40540540540540543,0.40540540540540543
GSE53625_locked_external,survivalpfn,1095,0.1,0.3888888888888889,0.3888888888888889
GSE53625_locked_external,survivalpfn,1095,0.125,0.37142857142857144,0.37142857142857144
GSE53625_locked_external,survivalpfn,1095,0.15,0.35294117647058826,0.35294117647058826
GSE53625_locked_external,survivalpfn,1095,0.175,0.3333333333333333,0.3333333333333333
GSE53625_locked_external,survivalpfn,1095,0.2,0.3125,0.3125
GSE53625_locked_external,survivalpfn,1095,0.225,0.29032258064516125,0.29032258064516125
GSE53625_locked_external,survivalpfn,1095,0.25,0.26666666666666666,0.26666666666666666
GSE53625_locked_external,survivalpfn,1095,0.275,0.24137931034482757,0.24137931034482757
GSE53625_locked_external,survivalpfn,1095,0.3,0.22857142857142856,0.21428571428571427
GSE53625_locked_external,survivalpfn,1095,0.325,0.20925925925925928,0.18518518518518517
GSE53625_locked_external,survivalpfn,1095,0.35,0.14743589743589747,0.15384615384615385
GSE53625_locked_external,survivalpfn,1095,0.375,0.15333333333333332,0.12
GSE53625_locked_external,survivalpfn,1095,0.4,0.11666666666666667,0.08333333333333326
GSE53625_locked_external,survivalpfn,1095,0.425,0.12826086956521734,0.04347826086956519
GSE53625_locked_external,survivalpfn,1095,0.45,0.15606060606060604,0.0
GSE53625_locked_external,survivalpfn,1095,0.475,0.11904761904761904,-0.04761904761904756
GSE53625_locked_external,survivalpfn,1095,0.5,0.08333333333333331,-0.10000000000000003
GSE53625_locked_external,survivalpfn,1095,0.525,0.06403508771929822,-0.15789473684210537
GSE53625_locked_external,survivalpfn,1095,0.55,0.06296296296296292,-0.22222222222222238
GSE53625_locked_external,survivalpfn,1095,0.575,0.06372549019607845,-0.29411764705882343
GSE53625_locked_external,survivalpfn,1095,0.6,0.05000000000000002,-0.37499999999999994
GSE53625_locked_external,survpfn,365,0.05,0.21052631578947367,0.21052631578947367
GSE53625_locked_external,survpfn,365,0.075,0.1891891891891892,0.1891891891891892
GSE53625_locked_external,survpfn,365,0.1,0.16666666666666666,0.16666666666666666
GSE53625_locked_external,survpfn,365,0.125,0.14285714285714285,0.14285714285714285
GSE53625_locked_external,survpfn,365,0.15,0.11274509803921569,0.11764705882352941
GSE53625_locked_external,survpfn,365,0.175,0.07979797979797983,0.09090909090909094
GSE53625_locked_external,survpfn,365,0.2,0.07083333333333333,0.06249999999999997
GSE53625_locked_external,survpfn,365,0.225,0.05806451612903227,0.03225806451612903
GSE53625_locked_external,survpfn,365,0.25,0.03333333333333334,0.0
GSE53625_locked_external,survpfn,365,0.275,-0.0471264367816092,-0.03448275862068967
GSE53625_locked_external,survpfn,365,0.3,-0.033333333333333326,-0.0714285714285714
GSE53625_locked_external,survpfn,365,0.325,-0.045679012345679004,-0.1111111111111111
GSE53625_locked_external,survpfn,365,0.35,-0.04102564102564102,-0.15384615384615374
GSE53625_locked_external,survpfn,365,0.375,-0.06333333333333334,-0.2
GSE53625_locked_external,survpfn,365,0.4,0.0,-0.2500000000000001
GSE53625_locked_external,survpfn,365,0.425,0.0,-0.30434782608695654
GSE53625_locked_external,survpfn,365,0.45,0.0,-0.36363636363636365
GSE53625_locked_external,survpfn,365,0.475,0.0,-0.4285714285714285
GSE53625_locked_external,survpfn,365,0.5,0.0,-0.5
GSE53625_locked_external,survpfn,365,0.525,0.0,-0.5789473684210528
GSE53625_locked_external,survpfn,365,0.55,0.0,-0.6666666666666669
GSE53625_locked_external,survpfn,365,0.575,0.0,-0.7647058823529409
GSE53625_locked_external,survpfn,365,0.6,0.0,-0.8749999999999998
GSE53625_locked_external,survpfn,1095,0.05,0.42105263157894735,0.42105263157894735
GSE53625_locked_external,survpfn,1095,0.075,0.40540540540540543,0.40540540540540543
GSE53625_locked_external,survpfn,1095,0.1,0.3888888888888889,0.3888888888888889
GSE53625_locked_external,survpfn,1095,0.125,0.37142857142857144,0.37142857142857144
GSE53625_locked_external,survpfn,1095,0.15,0.35294117647058826,0.35294117647058826
GSE53625_locked_external,survpfn,1095,0.175,0.3333333333333333,0.3333333333333333
GSE53625_locked_external,survpfn,1095,0.2,0.3125,0.3125
GSE53625_locked_external,survpfn,1095,0.225,0.29032258064516125,0.29032258064516125
GSE53625_locked_external,survpfn,1095,0.25,0.26666666666666666,0.26666666666666666
GSE53625_locked_external,survpfn,1095,0.275,0.22701149425287356,0.24137931034482757
GSE53625_locked_external,survpfn,1095,0.3,0.20238095238095238,0.21428571428571427
GSE53625_locked_external,survpfn,1095,0.325,0.17592592592592596,0.18518518518518517
GSE53625_locked_external,survpfn,1095,0.35,0.158974358974359,0.15384615384615385
GSE53625_locked_external,survpfn,1095,0.375,0.10999999999999993,0.12
GSE53625_locked_external,survpfn,1095,0.4,0.11666666666666664,0.08333333333333326
GSE53625_locked_external,survpfn,1095,0.425,0.08985507246376809,0.04347826086956519
GSE53625_locked_external,survpfn,1095,0.45,0.07272727272727272,0.0
GSE53625_locked_external,survpfn,1095,0.475,0.05396825396825397,-0.04761904761904756
GSE53625_locked_external,survpfn,1095,0.5,-0.033333333333333354,-0.10000000000000003
GSE53625_locked_external,survpfn,1095,0.525,-0.05438596491228073,-0.15789473684210537
GSE53625_locked_external,survpfn,1095,0.55,-0.03703703703703709,-0.22222222222222238
GSE53625_locked_external,survpfn,1095,0.575,-0.01372549019607841,-0.29411764705882343
GSE53625_locked_external,survpfn,1095,0.6,-0.04999999999999999,-0.37499999999999994
