gene
A1BG
A1CF
A2M
A2ML1
A3GALT2
A4GALT
A4GNT
AACS
AACSP1
AADAC
AADACL3
AADAT
AAGAB
AAK1
AAMP
AAR2
AARD
AARS1
AARS2
AASDH
AASDHPPT
AASS
AATBC
AATK
ABAT
ABCA1
ABCA10
ABCA12
ABCA13
ABCA17P
ABCA2
ABCA3
ABCA4
ABCA5
ABCA6
ABCA7
ABCA8
ABCA9
ABCB1
ABCB10
ABCB4
ABCB5
ABCB7
ABCB8
ABCB9
ABCC10
ABCC11
ABCC12
ABCC13
ABCC2
ABCC3
ABCC4
ABCC5
ABCC6P1
ABCC8
ABCC9
ABCD1
ABCD1P5
ABCD2
ABCD3
ABCD4
ABCE1
ABCF3
ABCG1
ABCG2
ABCG4
ABCG5
ABCG8
ABHD10
ABHD11
ABHD12B
ABHD13
ABHD14A
ABHD14B
ABHD15
ABHD17A
ABHD17B
ABHD17C
ABHD18
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABI3
ABI3BP
ABITRAM
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABRA
ABRACL
ABRAXAS2
ABTB1
ABTB2
ABTB3
ACAA2
ACACB
ACAD10
ACAD8
ACAD9
ACAD9-DT
ACADL
ACADM
ACADS
ACADSB
ACADVL
ACAN
ACAP2
ACAP3
ACAT1
ACBD3
ACBD3-AS1
ACBD4
ACBD5
ACBD6
ACCS
ACCSL
ACD
ACE
ACE2-DT
ACER1
ACER2
ACER3
ACHE
ACIN1
ACKR1
ACKR2
ACKR3
ACLY
ACMSD
ACO1
ACOD1
ACOT11
ACOT12
ACOT4
ACOT6
ACOT7
ACOT8
ACOT9
ACOX1
ACOX2
ACOX3
ACOXL
ACOXL-AS1
ACP1
ACP2
ACP3
ACP4
ACP5
ACP6
ACP7
ACRBP
ACRV1
ACSBG1
ACSBG2
ACSF2
ACSF3
ACSL1
ACSL3
ACSL4
ACSL5
ACSL6
ACSM1
ACSM2A
ACSM2B
ACSM3
ACSM4
ACSM5P1
ACSM6
ACSS1
ACSS2
ACSS3
ACTA1
ACTA2
ACTA2-AS1
ACTB
ACTBL2
ACTBP15
ACTE1P
ACTG1P17
ACTG1P25
ACTG2
ACTL10
ACTL6A
ACTL6B
ACTL7A
ACTL7B
ACTL8
ACTL9
ACTMAP
ACTN1
ACTN1-DT
ACTN2
ACTN3
ACTR10
ACTR1A
ACTR2
ACTR3-AS1
ACTR3B
ACTR3C
ACTR5
ACTR6
ACTRT1
ACTRT2
ACTRT3
ACVR1
ACVR1B
ACVR1C
ACVR2A
ACVR2B
ACVR2B-AS1
ACVRL1
ACY1
ACY3
ACYP1
ACYP2
ADA2
ADAD1
ADAD2
ADAM10
ADAM11
ADAM12
ADAM15
ADAM17
ADAM19
ADAM20
ADAM21
ADAM22
ADAM23
ADAM28
ADAM29
ADAM30
ADAM33
ADAM3A
ADAM7
ADAM8
ADAM9
ADAMDEC1
ADAMTS1
ADAMTS10
ADAMTS12
ADAMTS15
ADAMTS16
ADAMTS16-DT
ADAMTS17
ADAMTS18
ADAMTS19
ADAMTS2
ADAMTS20
ADAMTS3
ADAMTS4
ADAMTS5
ADAMTS6
ADAMTS7
ADAMTS7P3
ADAMTS8
ADAMTS9
ADAMTS9-AS1
ADAMTS9-AS2
ADAMTSL1
ADAMTSL2
ADAMTSL4
ADAMTSL5
ADAP1
ADAP2
ADAR
ADARB1
ADARB2
ADARB2-AS1
ADAT1
ADAT2
ADCK1
ADCK2
ADCY10
ADCY10P1
ADCY2
ADCY5
ADCY6
ADCY6-DT
ADCY8
ADCY9
ADCYAP1
ADCYAP1R1
ADD1
ADD2
ADD3
ADD3-AS1
ADGB
ADGB-DT
ADGRA1
ADGRA3
ADGRB1
ADGRB2
ADGRB3
ADGRB3-DT
ADGRD1
ADGRD2
ADGRE1
ADGRE2
ADGRE3
ADGRE5
ADGRF1
ADGRF3
ADGRF4
ADGRF5
ADGRG2
ADGRG3
ADGRG4
ADGRG5
ADGRG6
ADGRG7
ADGRL2
ADGRL3
ADGRL4
ADGRV1
ADH1B
ADH1C
ADH5
ADH6
ADH7
ADHFE1
ADIG
ADIPOQ
ADIPOR1
ADIRF-AS1
ADISSP
ADK
ADM
ADM-DT
ADM2
ADNP
ADNP2
ADO
ADORA1
ADORA2A
ADORA2A-AS1
ADORA2B
ADORA3
ADPGK
ADPRH
ADPRHL1
ADPRM
ADPRS
ADRA1A
ADRA1B
ADRA1D
ADRA2A
ADRA2B
ADRA2C
ADRB2
