model,n_external,events_external,selected_params,harrell_c,uno_c,integrated_brier,brier_t365,auc_t365,calibration_intercept_t365,calibration_slope_t365,brier_t1095,auc_t1095,calibration_intercept_t1095,calibration_slope_t1095,harrell_c_ci95_low,harrell_c_ci95_high,uno_c_ci95_low,uno_c_ci95_high,integrated_brier_ci95_low,integrated_brier_ci95_high,brier_t365_ci95_low,brier_t365_ci95_high,auc_t365_ci95_low,auc_t365_ci95_high,calibration_intercept_t365_ci95_low,calibration_intercept_t365_ci95_high,calibration_slope_t365_ci95_low,calibration_slope_t365_ci95_high,brier_t1095_ci95_low,brier_t1095_ci95_high,auc_t1095_ci95_low,auc_t1095_ci95_high,calibration_intercept_t1095_ci95_low,calibration_intercept_t1095_ci95_high,calibration_slope_t1095_ci95_low,calibration_slope_t1095_ci95_high
survivalpfn,60,33,{},0.5984474241354976,0.6133226323136648,0.5092070983317939,0.2197283420124567,0.5860046342834789,-0.5258509917264628,0.4498035987201064,0.7986858546511311,0.6308914320343079,-1.2764024917646704,0.6678861106858611,0.4959985115020298,0.7061054225580988,0.476786556103571,0.7419265278852392,0.4245432101298402,0.603634394157741,0.1513564057519785,0.2944876037872808,0.4233023498337752,0.7499991663769627,-1.8552733091685456,0.7218130598108314,-0.3124266743585615,1.3249007291852903,0.6273915548460585,0.9942901225668582,0.4718354628649888,0.7852308221418003,-1.896720003771766,-0.6989906843589798,-0.0643911940019253,1.6460196810179195
elastic_net_cox,60,33,"{""l1_ratio"": 0.0, ""penalizer"": 0.1}",0.5822159491884262,0.6094181315433962,0.5670025830240976,0.2164462835139717,0.5549184297120286,-0.4396655327603074,0.5911872239906194,0.9175588825342236,0.6156581580874577,-1.4022071795234825,0.6319197973335655,0.4799993642720915,0.6903372925742063,0.4722271827307706,0.737533870277047,0.4836805053531007,0.6582648088918901,0.1532006453340047,0.285245914066681,0.39034530121056,0.717967191281843,-2.3201444745577,1.358059068930081,-0.7622487893600121,2.069485240644515,0.7320489029681363,1.119716188385658,0.4566027749159355,0.7693317545377133,-2.1417616454300124,-0.7711138743608104,-0.2951544103255705,1.7170390016878154
survpfn,60,33,,0.544107268877911,0.5735835285529257,0.4917128935648808,,,,,,,,,,,0.43261014649607715,0.7076583050707637,,,,,,,,,,,,,,,,,,
