panel,model,harrell_c_mean,harrell_c_std,harrell_c_count,uno_c_mean,uno_c_std,uno_c_count,integrated_brier_mean,integrated_brier_std,integrated_brier_count,brier_t365_mean,brier_t365_std,brier_t365_count,auc_t365_mean,auc_t365_std,auc_t365_count,calibration_intercept_t365_mean,calibration_intercept_t365_std,calibration_intercept_t365_count,calibration_slope_t365_mean,calibration_slope_t365_std,calibration_slope_t365_count,brier_t1095_mean,brier_t1095_std,brier_t1095_count,auc_t1095_mean,auc_t1095_std,auc_t1095_count,calibration_intercept_t1095_mean,calibration_intercept_t1095_std,calibration_intercept_t1095_count,calibration_slope_t1095_mean,calibration_slope_t1095_std,calibration_slope_t1095_count,brier_t1825_mean,brier_t1825_std,brier_t1825_count,auc_t1825_mean,auc_t1825_std,auc_t1825_count,calibration_intercept_t1825_mean,calibration_intercept_t1825_std,calibration_intercept_t1825_count,calibration_slope_t1825_mean,calibration_slope_t1825_std,calibration_slope_t1825_count
clinical,elastic_net_cox,0.5990188047741705,0.0765553670938625,50,0.6000133573217064,0.0879597157221005,50,0.227414892311351,0.0823380974649461,50,0.1828242847957241,0.027517144994206,50,0.5993842835978631,0.1181905115051308,50,-0.4549702644290715,1.7515560201933005,50,0.6472943491257971,1.4128498675121606,50,0.2696530145751469,0.1183380896692236,50,0.5619012335931863,0.2161974286889692,50,-0.0599183679433141,2.1656552821211963,43,1.7466354508437392,7.634703901263132,43,0.1875292552993863,0.2241776556479652,50,0.751559539717735,0.2120394634626931,31,-8.45407590694892,20.39720005932544,8,6.2427723889687945,14.940348351280257,8
clinical,survpfn,0.59197180553295,0.0739607668027495,50,0.5930341554709406,0.0880494247954373,50,0.2384488484705158,0.0652988169542582,50,0.1830038648528633,0.0235932316428928,50,0.5931197956006734,0.1151521857186631,50,-0.3952254961202907,1.1641060772737717,50,0.8078482562594422,1.075422958597497,50,0.276160989290902,0.0858826513051528,50,0.5207459721265522,0.1846589696347418,50,0.4967897605538157,0.9544794865364006,43,-0.0168681090057345,1.7996380720720977,43,0.2184695504473959,0.1601600167027657,50,0.6815339280427177,0.2841070151046173,31,0.1120035640333564,1.3664608085442118,8,0.2934636794179515,1.7916979617484223,8
clinical,survivalpfn,0.6150846209571516,0.0813224232804415,50,0.5925779181853262,0.0969072149053355,50,0.2244218917520839,0.0836796351113325,50,0.1790336068412701,0.0278656158384757,50,0.622230057368837,0.1183453733997459,50,-0.2913368038570724,0.9347067084890864,50,0.7264703456695101,0.6755114940150092,50,0.2650400386547765,0.1045680044455431,50,0.5865049515042967,0.1903486792475724,50,0.234526045989891,0.809685860198326,43,0.8421699953692408,1.981635993785267,43,0.1885738828575124,0.2436320671532042,50,0.7761265143608578,0.2076172813235801,31,-2.809355757263585,2.248588126543086,8,2.1287731840409934,1.561117239004721,8
clinical,random_survival_forest,0.5807783616649609,0.0686022231448274,50,0.5920958631149912,0.0852523645632195,50,0.2211385776434872,0.0746329091023875,50,0.1811751041764403,0.0279089281199624,50,0.588542027564068,0.1088470673280765,50,-0.0646887149904057,1.3909524645344158,50,0.974069331843559,1.1406704857631818,50,0.251534830469734,0.0944360881215999,50,0.5826333118684209,0.1525008626111459,50,1.0542358713099975,7.409167959943614,43,9.33171598025204,52.07634162823097,43,0.2003095454580404,0.198247421733151,50,0.7373856613951781,0.2605941842218489,31,-1.4784528434078672,2.7187470246628718,8,1.5845372037919745,2.046372923560796,8
clinical,xgb_aft,0.5695846018015422,0.0834769808797584,50,0.5435281452225997,0.0915951520247905,50,0.2361891215856115,0.1077765559937148,50,0.1905294423600164,0.0321086682310043,50,0.5984236560448789,0.1222370365072477,50,-0.7622256387936394,0.845089917802159,50,0.4265107605913335,0.684616257860096,50,0.2716587673934142,0.1222585211837316,50,0.5629510711055247,0.1642901674635395,50,0.0903354402723921,0.7609566070200245,43,0.4240211641184048,1.0332676604456734,43,0.2109095091956012,0.2767326230538829,50,0.6302571182532098,0.3101351294030185,31,0.9907840874485034,1.3733349988892904,8,-0.4425545153500123,0.8264054131640568,8
