profile_id,source,patient,sample,tissue,state,n_cells
GSE160269::P48T-I::Mono/Macro,GSE160269,P48,P48T-I,Tumor,Mono/Macro,56
GSE160269::P48T-I::Plasma,GSE160269,P48,P48T-I,Tumor,Plasma,67
GSE160269::P48T-I::Tprolif,GSE160269,P48,P48T-I,Tumor,Tprolif,10
GSE160269::P48T-I::Treg,GSE160269,P48,P48T-I,Tumor,Treg,129
GSE160269::P49T-I::B,GSE160269,P49,P49T-I,Tumor,B,4
GSE160269::P49T-I::CD4Tconv,GSE160269,P49,P49T-I,Tumor,CD4Tconv,154
GSE160269::P49T-I::CD8Tex,GSE160269,P49,P49T-I,Tumor,CD8Tex,350
GSE160269::P49T-I::DC,GSE160269,P49,P49T-I,Tumor,DC,56
GSE160269::P49T-I::Fibroblasts,GSE160269,P49,P49T-I,Tumor,Fibroblasts,7
GSE160269::P49T-I::Mast,GSE160269,P49,P49T-I,Tumor,Mast,55
GSE160269::P49T-I::Mono/Macro,GSE160269,P49,P49T-I,Tumor,Mono/Macro,155
GSE160269::P49T-I::Plasma,GSE160269,P49,P49T-I,Tumor,Plasma,39
GSE160269::P49T-I::Tprolif,GSE160269,P49,P49T-I,Tumor,Tprolif,35
GSE160269::P49T-I::Treg,GSE160269,P49,P49T-I,Tumor,Treg,135
GSE160269::P5T-I::B,GSE160269,P5,P5T-I,Tumor,B,142
GSE160269::P5T-I::CD4Tconv,GSE160269,P5,P5T-I,Tumor,CD4Tconv,456
GSE160269::P5T-I::CD8Tex,GSE160269,P5,P5T-I,Tumor,CD8Tex,872
GSE160269::P5T-I::DC,GSE160269,P5,P5T-I,Tumor,DC,84
GSE160269::P5T-I::Fibroblasts,GSE160269,P5,P5T-I,Tumor,Fibroblasts,14
GSE160269::P5T-I::Mast,GSE160269,P5,P5T-I,Tumor,Mast,53
GSE160269::P5T-I::Mono/Macro,GSE160269,P5,P5T-I,Tumor,Mono/Macro,340
GSE160269::P5T-I::Plasma,GSE160269,P5,P5T-I,Tumor,Plasma,219
GSE160269::P5T-I::Tprolif,GSE160269,P5,P5T-I,Tumor,Tprolif,140
GSE160269::P5T-I::Treg,GSE160269,P5,P5T-I,Tumor,Treg,116
GSE160269::P52T-I::B,GSE160269,P52,P52T-I,Tumor,B,132
GSE160269::P52T-I::CD4Tconv,GSE160269,P52,P52T-I,Tumor,CD4Tconv,212
GSE160269::P52T-I::CD8Tex,GSE160269,P52,P52T-I,Tumor,CD8Tex,623
GSE160269::P52T-I::DC,GSE160269,P52,P52T-I,Tumor,DC,41
GSE160269::P52T-I::Fibroblasts,GSE160269,P52,P52T-I,Tumor,Fibroblasts,31
GSE160269::P52T-I::Mast,GSE160269,P52,P52T-I,Tumor,Mast,39
GSE160269::P52T-I::Mono/Macro,GSE160269,P52,P52T-I,Tumor,Mono/Macro,260
GSE160269::P52T-I::Plasma,GSE160269,P52,P52T-I,Tumor,Plasma,107
GSE160269::P52T-I::Tprolif,GSE160269,P52,P52T-I,Tumor,Tprolif,79
GSE160269::P52T-I::Treg,GSE160269,P52,P52T-I,Tumor,Treg,146
GSE160269::P54T-I::B,GSE160269,P54,P54T-I,Tumor,B,646
GSE160269::P54T-I::CD4Tconv,GSE160269,P54,P54T-I,Tumor,CD4Tconv,409
GSE160269::P54T-I::CD8Tex,GSE160269,P54,P54T-I,Tumor,CD8Tex,476
GSE160269::P54T-I::DC,GSE160269,P54,P54T-I,Tumor,DC,35
GSE160269::P54T-I::Fibroblasts,GSE160269,P54,P54T-I,Tumor,Fibroblasts,11
GSE160269::P54T-I::Mast,GSE160269,P54,P54T-I,Tumor,Mast,36
GSE160269::P54T-I::Mono/Macro,GSE160269,P54,P54T-I,Tumor,Mono/Macro,247
GSE160269::P54T-I::Plasma,GSE160269,P54,P54T-I,Tumor,Plasma,83
GSE160269::P54T-I::Tprolif,GSE160269,P54,P54T-I,Tumor,Tprolif,30
GSE160269::P54T-I::Treg,GSE160269,P54,P54T-I,Tumor,Treg,168
GSE160269::P56T-I::B,GSE160269,P56,P56T-I,Tumor,B,239
GSE160269::P56T-I::CD4Tconv,GSE160269,P56,P56T-I,Tumor,CD4Tconv,79
GSE160269::P56T-I::CD8Tex,GSE160269,P56,P56T-I,Tumor,CD8Tex,59
GSE160269::P56T-I::DC,GSE160269,P56,P56T-I,Tumor,DC,16
GSE160269::P56T-I::Fibroblasts,GSE160269,P56,P56T-I,Tumor,Fibroblasts,4
GSE160269::P56T-I::Mast,GSE160269,P56,P56T-I,Tumor,Mast,15
GSE160269::P56T-I::Mono/Macro,GSE160269,P56,P56T-I,Tumor,Mono/Macro,98
GSE160269::P56T-I::Plasma,GSE160269,P56,P56T-I,Tumor,Plasma,135
GSE160269::P56T-I::Tprolif,GSE160269,P56,P56T-I,Tumor,Tprolif,4
GSE160269::P56T-I::Treg,GSE160269,P56,P56T-I,Tumor,Treg,57
GSE160269::P57T-I::B,GSE160269,P57,P57T-I,Tumor,B,184
GSE160269::P57T-I::CD4Tconv,GSE160269,P57,P57T-I,Tumor,CD4Tconv,193
GSE160269::P57T-I::CD8Tex,GSE160269,P57,P57T-I,Tumor,CD8Tex,258
GSE160269::P57T-I::DC,GSE160269,P57,P57T-I,Tumor,DC,18
GSE160269::P57T-I::Mast,GSE160269,P57,P57T-I,Tumor,Mast,63
GSE160269::P57T-I::Mono/Macro,GSE160269,P57,P57T-I,Tumor,Mono/Macro,25
GSE160269::P57T-I::Plasma,GSE160269,P57,P57T-I,Tumor,Plasma,213
GSE160269::P57T-I::Tprolif,GSE160269,P57,P57T-I,Tumor,Tprolif,7
GSE160269::P57T-I::Treg,GSE160269,P57,P57T-I,Tumor,Treg,106
GSE160269::P61T-I::B,GSE160269,P61,P61T-I,Tumor,B,83
GSE160269::P61T-I::CD4Tconv,GSE160269,P61,P61T-I,Tumor,CD4Tconv,770
GSE160269::P61T-I::CD8Tex,GSE160269,P61,P61T-I,Tumor,CD8Tex,617
GSE160269::P61T-I::DC,GSE160269,P61,P61T-I,Tumor,DC,15
GSE160269::P61T-I::Fibroblasts,GSE160269,P61,P61T-I,Tumor,Fibroblasts,4
GSE160269::P61T-I::Mast,GSE160269,P61,P61T-I,Tumor,Mast,49
GSE160269::P61T-I::Mono/Macro,GSE160269,P61,P61T-I,Tumor,Mono/Macro,56
GSE160269::P61T-I::Plasma,GSE160269,P61,P61T-I,Tumor,Plasma,63
GSE160269::P61T-I::Tprolif,GSE160269,P61,P61T-I,Tumor,Tprolif,33
GSE160269::P61T-I::Treg,GSE160269,P61,P61T-I,Tumor,Treg,249
GSE160269::P62T-I::B,GSE160269,P62,P62T-I,Tumor,B,648
GSE160269::P62T-I::CD4Tconv,GSE160269,P62,P62T-I,Tumor,CD4Tconv,333
GSE160269::P62T-I::CD8Tex,GSE160269,P62,P62T-I,Tumor,CD8Tex,421
GSE160269::P62T-I::DC,GSE160269,P62,P62T-I,Tumor,DC,26
GSE160269::P62T-I::Fibroblasts,GSE160269,P62,P62T-I,Tumor,Fibroblasts,12
GSE160269::P62T-I::Mast,GSE160269,P62,P62T-I,Tumor,Mast,5
GSE160269::P62T-I::Mono/Macro,GSE160269,P62,P62T-I,Tumor,Mono/Macro,92
GSE160269::P62T-I::Plasma,GSE160269,P62,P62T-I,Tumor,Plasma,19
GSE160269::P62T-I::Tprolif,GSE160269,P62,P62T-I,Tumor,Tprolif,21
GSE160269::P62T-I::Treg,GSE160269,P62,P62T-I,Tumor,Treg,121
GSE160269::P63T-I::B,GSE160269,P63,P63T-I,Tumor,B,462
GSE160269::P63T-I::CD4Tconv,GSE160269,P63,P63T-I,Tumor,CD4Tconv,500
GSE160269::P63T-I::CD8Tex,GSE160269,P63,P63T-I,Tumor,CD8Tex,248
GSE160269::P63T-I::DC,GSE160269,P63,P63T-I,Tumor,DC,32
GSE160269::P63T-I::Mast,GSE160269,P63,P63T-I,Tumor,Mast,12
GSE160269::P63T-I::Mono/Macro,GSE160269,P63,P63T-I,Tumor,Mono/Macro,273
GSE160269::P63T-I::Plasma,GSE160269,P63,P63T-I,Tumor,Plasma,92
GSE160269::P63T-I::Tprolif,GSE160269,P63,P63T-I,Tumor,Tprolif,13
GSE160269::P63T-I::Treg,GSE160269,P63,P63T-I,Tumor,Treg,110
GSE160269::P65T-I::B,GSE160269,P65,P65T-I,Tumor,B,865
GSE160269::P65T-I::CD4Tconv,GSE160269,P65,P65T-I,Tumor,CD4Tconv,591
GSE160269::P65T-I::CD8Tex,GSE160269,P65,P65T-I,Tumor,CD8Tex,336
GSE160269::P65T-I::DC,GSE160269,P65,P65T-I,Tumor,DC,31
GSE160269::P65T-I::Fibroblasts,GSE160269,P65,P65T-I,Tumor,Fibroblasts,14
GSE160269::P65T-I::Mast,GSE160269,P65,P65T-I,Tumor,Mast,80
GSE160269::P65T-I::Mono/Macro,GSE160269,P65,P65T-I,Tumor,Mono/Macro,137
GSE160269::P65T-I::Plasma,GSE160269,P65,P65T-I,Tumor,Plasma,35
GSE160269::P65T-I::Tprolif,GSE160269,P65,P65T-I,Tumor,Tprolif,6
GSE160269::P65T-I::Treg,GSE160269,P65,P65T-I,Tumor,Treg,72
GSE160269::P74T-I::B,GSE160269,P74,P74T-I,Tumor,B,100
GSE160269::P74T-I::CD4Tconv,GSE160269,P74,P74T-I,Tumor,CD4Tconv,205
GSE160269::P74T-I::CD8Tex,GSE160269,P74,P74T-I,Tumor,CD8Tex,490
GSE160269::P74T-I::DC,GSE160269,P74,P74T-I,Tumor,DC,33
GSE160269::P74T-I::Fibroblasts,GSE160269,P74,P74T-I,Tumor,Fibroblasts,1
GSE160269::P74T-I::Mast,GSE160269,P74,P74T-I,Tumor,Mast,20
GSE160269::P74T-I::Mono/Macro,GSE160269,P74,P74T-I,Tumor,Mono/Macro,267
GSE160269::P74T-I::Plasma,GSE160269,P74,P74T-I,Tumor,Plasma,109
GSE160269::P74T-I::Tprolif,GSE160269,P74,P74T-I,Tumor,Tprolif,52
GSE160269::P74T-I::Treg,GSE160269,P74,P74T-I,Tumor,Treg,180
GSE160269::P75T-I::B,GSE160269,P75,P75T-I,Tumor,B,88
GSE160269::P75T-I::CD4Tconv,GSE160269,P75,P75T-I,Tumor,CD4Tconv,384
GSE160269::P75T-I::CD8Tex,GSE160269,P75,P75T-I,Tumor,CD8Tex,714
GSE160269::P75T-I::DC,GSE160269,P75,P75T-I,Tumor,DC,30
GSE160269::P75T-I::Fibroblasts,GSE160269,P75,P75T-I,Tumor,Fibroblasts,8
GSE160269::P75T-I::Mast,GSE160269,P75,P75T-I,Tumor,Mast,18
GSE160269::P75T-I::Mono/Macro,GSE160269,P75,P75T-I,Tumor,Mono/Macro,228
GSE160269::P75T-I::Plasma,GSE160269,P75,P75T-I,Tumor,Plasma,45
GSE160269::P75T-I::Tprolif,GSE160269,P75,P75T-I,Tumor,Tprolif,61
GSE160269::P75T-I::Treg,GSE160269,P75,P75T-I,Tumor,Treg,140
GSE160269::P76T-I::B,GSE160269,P76,P76T-I,Tumor,B,382
GSE160269::P76T-I::CD4Tconv,GSE160269,P76,P76T-I,Tumor,CD4Tconv,258
GSE160269::P76T-I::CD8Tex,GSE160269,P76,P76T-I,Tumor,CD8Tex,427
GSE160269::P76T-I::DC,GSE160269,P76,P76T-I,Tumor,DC,57
GSE160269::P76T-I::Fibroblasts,GSE160269,P76,P76T-I,Tumor,Fibroblasts,5
GSE160269::P76T-I::Mast,GSE160269,P76,P76T-I,Tumor,Mast,37
GSE160269::P76T-I::Mono/Macro,GSE160269,P76,P76T-I,Tumor,Mono/Macro,164
GSE160269::P76T-I::Plasma,GSE160269,P76,P76T-I,Tumor,Plasma,144
GSE160269::P76T-I::Tprolif,GSE160269,P76,P76T-I,Tumor,Tprolif,39
GSE160269::P76T-I::Treg,GSE160269,P76,P76T-I,Tumor,Treg,141
GSE160269::P79T-I::B,GSE160269,P79,P79T-I,Tumor,B,333
GSE160269::P79T-I::CD4Tconv,GSE160269,P79,P79T-I,Tumor,CD4Tconv,348
GSE160269::P79T-I::CD8Tex,GSE160269,P79,P79T-I,Tumor,CD8Tex,187
GSE160269::P79T-I::DC,GSE160269,P79,P79T-I,Tumor,DC,32
GSE160269::P79T-I::Fibroblasts,GSE160269,P79,P79T-I,Tumor,Fibroblasts,11
GSE160269::P79T-I::Mast,GSE160269,P79,P79T-I,Tumor,Mast,38
GSE160269::P79T-I::Mono/Macro,GSE160269,P79,P79T-I,Tumor,Mono/Macro,157
GSE160269::P79T-I::Plasma,GSE160269,P79,P79T-I,Tumor,Plasma,209
GSE160269::P79T-I::Tprolif,GSE160269,P79,P79T-I,Tumor,Tprolif,29
GSE160269::P79T-I::Treg,GSE160269,P79,P79T-I,Tumor,Treg,180
GSE160269::P8T-I::B,GSE160269,P8,P8T-I,Tumor,B,200
GSE160269::P8T-I::CD4Tconv,GSE160269,P8,P8T-I,Tumor,CD4Tconv,786
GSE160269::P8T-I::CD8Tex,GSE160269,P8,P8T-I,Tumor,CD8Tex,698
GSE160269::P8T-I::DC,GSE160269,P8,P8T-I,Tumor,DC,66
GSE160269::P8T-I::Fibroblasts,GSE160269,P8,P8T-I,Tumor,Fibroblasts,16
GSE160269::P8T-I::Mono/Macro,GSE160269,P8,P8T-I,Tumor,Mono/Macro,412
GSE160269::P8T-I::Plasma,GSE160269,P8,P8T-I,Tumor,Plasma,24
GSE160269::P8T-I::Tprolif,GSE160269,P8,P8T-I,Tumor,Tprolif,29
GSE160269::P8T-I::Treg,GSE160269,P8,P8T-I,Tumor,Treg,208
GSE160269::P80T-I::B,GSE160269,P80,P80T-I,Tumor,B,20
GSE160269::P80T-I::CD4Tconv,GSE160269,P80,P80T-I,Tumor,CD4Tconv,192
GSE160269::P80T-I::CD8Tex,GSE160269,P80,P80T-I,Tumor,CD8Tex,1071
GSE160269::P80T-I::DC,GSE160269,P80,P80T-I,Tumor,DC,9
GSE160269::P80T-I::Fibroblasts,GSE160269,P80,P80T-I,Tumor,Fibroblasts,9
GSE160269::P80T-I::Mast,GSE160269,P80,P80T-I,Tumor,Mast,5
GSE160269::P80T-I::Mono/Macro,GSE160269,P80,P80T-I,Tumor,Mono/Macro,42
GSE160269::P80T-I::Plasma,GSE160269,P80,P80T-I,Tumor,Plasma,117
GSE160269::P80T-I::Tprolif,GSE160269,P80,P80T-I,Tumor,Tprolif,86
GSE160269::P80T-I::Treg,GSE160269,P80,P80T-I,Tumor,Treg,199
GSE160269::P82T-I::B,GSE160269,P82,P82T-I,Tumor,B,95
GSE160269::P82T-I::CD4Tconv,GSE160269,P82,P82T-I,Tumor,CD4Tconv,124
GSE160269::P82T-I::CD8Tex,GSE160269,P82,P82T-I,Tumor,CD8Tex,221
GSE160269::P82T-I::DC,GSE160269,P82,P82T-I,Tumor,DC,26
GSE160269::P82T-I::Fibroblasts,GSE160269,P82,P82T-I,Tumor,Fibroblasts,3
GSE160269::P82T-I::Mast,GSE160269,P82,P82T-I,Tumor,Mast,83
GSE160269::P82T-I::Mono/Macro,GSE160269,P82,P82T-I,Tumor,Mono/Macro,161
GSE160269::P82T-I::Plasma,GSE160269,P82,P82T-I,Tumor,Plasma,46
GSE160269::P82T-I::Tprolif,GSE160269,P82,P82T-I,Tumor,Tprolif,15
GSE160269::P82T-I::Treg,GSE160269,P82,P82T-I,Tumor,Treg,93
GSE160269::P83T-I::B,GSE160269,P83,P83T-I,Tumor,B,83
GSE160269::P83T-I::CD4Tconv,GSE160269,P83,P83T-I,Tumor,CD4Tconv,246
GSE160269::P83T-I::CD8Tex,GSE160269,P83,P83T-I,Tumor,CD8Tex,477
GSE160269::P83T-I::DC,GSE160269,P83,P83T-I,Tumor,DC,176
GSE160269::P83T-I::Fibroblasts,GSE160269,P83,P83T-I,Tumor,Fibroblasts,77
GSE160269::P83T-I::Mast,GSE160269,P83,P83T-I,Tumor,Mast,66
GSE160269::P83T-I::Mono/Macro,GSE160269,P83,P83T-I,Tumor,Mono/Macro,580
GSE160269::P83T-I::Plasma,GSE160269,P83,P83T-I,Tumor,Plasma,56
GSE160269::P83T-I::Tprolif,GSE160269,P83,P83T-I,Tumor,Tprolif,77
GSE160269::P83T-I::Treg,GSE160269,P83,P83T-I,Tumor,Treg,234
GSE160269::P84T-I::B,GSE160269,P84,P84T-I,Tumor,B,175
GSE160269::P84T-I::CD4Tconv,GSE160269,P84,P84T-I,Tumor,CD4Tconv,322
GSE160269::P84T-I::CD8Tex,GSE160269,P84,P84T-I,Tumor,CD8Tex,181
GSE160269::P84T-I::DC,GSE160269,P84,P84T-I,Tumor,DC,44
GSE160269::P84T-I::Fibroblasts,GSE160269,P84,P84T-I,Tumor,Fibroblasts,10
GSE160269::P84T-I::Mast,GSE160269,P84,P84T-I,Tumor,Mast,13
GSE160269::P84T-I::Mono/Macro,GSE160269,P84,P84T-I,Tumor,Mono/Macro,110
GSE160269::P84T-I::Plasma,GSE160269,P84,P84T-I,Tumor,Plasma,157
GSE160269::P84T-I::Tprolif,GSE160269,P84,P84T-I,Tumor,Tprolif,14
GSE160269::P84T-I::Treg,GSE160269,P84,P84T-I,Tumor,Treg,146
GSE160269::P87T-I::B,GSE160269,P87,P87T-I,Tumor,B,26
GSE160269::P87T-I::CD4Tconv,GSE160269,P87,P87T-I,Tumor,CD4Tconv,352
GSE160269::P87T-I::CD8Tex,GSE160269,P87,P87T-I,Tumor,CD8Tex,1884
GSE160269::P87T-I::DC,GSE160269,P87,P87T-I,Tumor,DC,17
GSE160269::P87T-I::Mast,GSE160269,P87,P87T-I,Tumor,Mast,26
GSE160269::P87T-I::Mono/Macro,GSE160269,P87,P87T-I,Tumor,Mono/Macro,44
GSE160269::P87T-I::Plasma,GSE160269,P87,P87T-I,Tumor,Plasma,10
GSE160269::P87T-I::Tprolif,GSE160269,P87,P87T-I,Tumor,Tprolif,167
GSE160269::P87T-I::Treg,GSE160269,P87,P87T-I,Tumor,Treg,95
GSE160269::P89T-I::B,GSE160269,P89,P89T-I,Tumor,B,21
GSE160269::P89T-I::CD4Tconv,GSE160269,P89,P89T-I,Tumor,CD4Tconv,134
GSE160269::P89T-I::CD8Tex,GSE160269,P89,P89T-I,Tumor,CD8Tex,360
GSE160269::P89T-I::DC,GSE160269,P89,P89T-I,Tumor,DC,28
GSE160269::P89T-I::Fibroblasts,GSE160269,P89,P89T-I,Tumor,Fibroblasts,33
GSE160269::P89T-I::Mast,GSE160269,P89,P89T-I,Tumor,Mast,12
GSE160269::P89T-I::Mono/Macro,GSE160269,P89,P89T-I,Tumor,Mono/Macro,313
GSE160269::P89T-I::Plasma,GSE160269,P89,P89T-I,Tumor,Plasma,39
GSE160269::P89T-I::Tprolif,GSE160269,P89,P89T-I,Tumor,Tprolif,15
GSE160269::P89T-I::Treg,GSE160269,P89,P89T-I,Tumor,Treg,170
GSE160269::P9T-I::B,GSE160269,P9,P9T-I,Tumor,B,53
GSE160269::P9T-I::CD4Tconv,GSE160269,P9,P9T-I,Tumor,CD4Tconv,576
GSE160269::P9T-I::CD8Tex,GSE160269,P9,P9T-I,Tumor,CD8Tex,1291
GSE160269::P9T-I::DC,GSE160269,P9,P9T-I,Tumor,DC,70
GSE160269::P9T-I::Fibroblasts,GSE160269,P9,P9T-I,Tumor,Fibroblasts,10
GSE160269::P9T-I::Mast,GSE160269,P9,P9T-I,Tumor,Mast,10
GSE160269::P9T-I::Mono/Macro,GSE160269,P9,P9T-I,Tumor,Mono/Macro,593
GSE160269::P9T-I::Plasma,GSE160269,P9,P9T-I,Tumor,Plasma,141
GSE160269::P9T-I::Tprolif,GSE160269,P9,P9T-I,Tumor,Tprolif,216
GSE160269::P9T-I::Treg,GSE160269,P9,P9T-I,Tumor,Treg,179
GSE160269::P91T-I::B,GSE160269,P91,P91T-I,Tumor,B,50
GSE160269::P91T-I::CD4Tconv,GSE160269,P91,P91T-I,Tumor,CD4Tconv,172
GSE160269::P91T-I::CD8Tex,GSE160269,P91,P91T-I,Tumor,CD8Tex,563
GSE160269::P91T-I::DC,GSE160269,P91,P91T-I,Tumor,DC,14
GSE160269::P91T-I::Fibroblasts,GSE160269,P91,P91T-I,Tumor,Fibroblasts,8
GSE160269::P91T-I::Mast,GSE160269,P91,P91T-I,Tumor,Mast,2
GSE160269::P91T-I::Mono/Macro,GSE160269,P91,P91T-I,Tumor,Mono/Macro,369
GSE160269::P91T-I::Plasma,GSE160269,P91,P91T-I,Tumor,Plasma,23
GSE160269::P91T-I::Tprolif,GSE160269,P91,P91T-I,Tumor,Tprolif,67
GSE160269::P91T-I::Treg,GSE160269,P91,P91T-I,Tumor,Treg,148
GSE160269::P94T-I::B,GSE160269,P94,P94T-I,Tumor,B,282
GSE160269::P94T-I::CD4Tconv,GSE160269,P94,P94T-I,Tumor,CD4Tconv,159
GSE160269::P94T-I::CD8Tex,GSE160269,P94,P94T-I,Tumor,CD8Tex,160
GSE160269::P94T-I::DC,GSE160269,P94,P94T-I,Tumor,DC,17
GSE160269::P94T-I::Fibroblasts,GSE160269,P94,P94T-I,Tumor,Fibroblasts,1
GSE160269::P94T-I::Mast,GSE160269,P94,P94T-I,Tumor,Mast,7
GSE160269::P94T-I::Mono/Macro,GSE160269,P94,P94T-I,Tumor,Mono/Macro,67
GSE160269::P94T-I::Plasma,GSE160269,P94,P94T-I,Tumor,Plasma,96
GSE160269::P94T-I::Tprolif,GSE160269,P94,P94T-I,Tumor,Tprolif,8
GSE160269::P94T-I::Treg,GSE160269,P94,P94T-I,Tumor,Treg,65
GSE154763::ESCA-P20181114-N::DC,GSE154763,P20181114,ESCA-P20181114-N,Normal,DC,79
GSE154763::ESCA-P20181114-N::Mast,GSE154763,P20181114,ESCA-P20181114-N,Normal,Mast,1
GSE154763::ESCA-P20181114-N::Mono/Macro,GSE154763,P20181114,ESCA-P20181114-N,Normal,Mono/Macro,288
GSE154763::ESCA-P20181114-T::DC,GSE154763,P20181114,ESCA-P20181114-T,Tumor,DC,100
GSE154763::ESCA-P20181114-T::Mast,GSE154763,P20181114,ESCA-P20181114-T,Tumor,Mast,71
GSE154763::ESCA-P20181114-T::Mono/Macro,GSE154763,P20181114,ESCA-P20181114-T,Tumor,Mono/Macro,304
GSE154763::ESCA-P20181123-N::DC,GSE154763,P20181123,ESCA-P20181123-N,Normal,DC,104
GSE154763::ESCA-P20181123-N::Mast,GSE154763,P20181123,ESCA-P20181123-N,Normal,Mast,38
GSE154763::ESCA-P20181123-N::Mono/Macro,GSE154763,P20181123,ESCA-P20181123-N,Normal,Mono/Macro,244
GSE154763::ESCA-P20181123-T::DC,GSE154763,P20181123,ESCA-P20181123-T,Tumor,DC,25
GSE154763::ESCA-P20181123-T::Mast,GSE154763,P20181123,ESCA-P20181123-T,Tumor,Mast,28
GSE154763::ESCA-P20181123-T::Mono/Macro,GSE154763,P20181123,ESCA-P20181123-T,Tumor,Mono/Macro,269
GSE154763::ESCA-P20190404-N::DC,GSE154763,P20190404,ESCA-P20190404-N,Normal,DC,40
GSE154763::ESCA-P20190404-N::Mast,GSE154763,P20190404,ESCA-P20190404-N,Normal,Mast,33
GSE154763::ESCA-P20190404-N::Mono/Macro,GSE154763,P20190404,ESCA-P20190404-N,Normal,Mono/Macro,442
GSE154763::ESCA-P20190404-T::DC,GSE154763,P20190404,ESCA-P20190404-T,Tumor,DC,44
GSE154763::ESCA-P20190404-T::Mast,GSE154763,P20190404,ESCA-P20190404-T,Tumor,Mast,13
GSE154763::ESCA-P20190404-T::Mono/Macro,GSE154763,P20190404,ESCA-P20190404-T,Tumor,Mono/Macro,414
GSE154763::ESCA-P20190410-N::DC,GSE154763,P20190410,ESCA-P20190410-N,Normal,DC,33
GSE154763::ESCA-P20190410-N::Mast,GSE154763,P20190410,ESCA-P20190410-N,Normal,Mast,37
GSE154763::ESCA-P20190410-N::Mono/Macro,GSE154763,P20190410,ESCA-P20190410-N,Normal,Mono/Macro,157
GSE154763::ESCA-P20190410-T::DC,GSE154763,P20190410,ESCA-P20190410-T,Tumor,DC,20
GSE154763::ESCA-P20190410-T::Mast,GSE154763,P20190410,ESCA-P20190410-T,Tumor,Mast,12
GSE154763::ESCA-P20190410-T::Mono/Macro,GSE154763,P20190410,ESCA-P20190410-T,Tumor,Mono/Macro,249
GSE154763::ESCA-P20190411-N::DC,GSE154763,P20190411,ESCA-P20190411-N,Normal,DC,93
GSE154763::ESCA-P20190411-N::Mast,GSE154763,P20190411,ESCA-P20190411-N,Normal,Mast,2
GSE154763::ESCA-P20190411-N::Mono/Macro,GSE154763,P20190411,ESCA-P20190411-N,Normal,Mono/Macro,915
GSE154763::ESCA-P20190411-T::DC,GSE154763,P20190411,ESCA-P20190411-T,Tumor,DC,67
GSE154763::ESCA-P20190411-T::Mast,GSE154763,P20190411,ESCA-P20190411-T,Tumor,Mast,58
GSE154763::ESCA-P20190411-T::Mono/Macro,GSE154763,P20190411,ESCA-P20190411-T,Tumor,Mono/Macro,616
GSE154763::ESCA-P20190613-N::DC,GSE154763,P20190613,ESCA-P20190613-N,Normal,DC,187
GSE154763::ESCA-P20190613-N::Mast,GSE154763,P20190613,ESCA-P20190613-N,Normal,Mast,50
GSE154763::ESCA-P20190613-N::Mono/Macro,GSE154763,P20190613,ESCA-P20190613-N,Normal,Mono/Macro,583
GSE154763::ESCA-P20190613-T::DC,GSE154763,P20190613,ESCA-P20190613-T,Tumor,DC,47
GSE154763::ESCA-P20190613-T::Mast,GSE154763,P20190613,ESCA-P20190613-T,Tumor,Mast,28
GSE154763::ESCA-P20190613-T::Mono/Macro,GSE154763,P20190613,ESCA-P20190613-T,Tumor,Mono/Macro,485
GSE154763::ESCA-P20190916-N::DC,GSE154763,P20190916,ESCA-P20190916-N,Normal,DC,85
GSE154763::ESCA-P20190916-N::Mast,GSE154763,P20190916,ESCA-P20190916-N,Normal,Mast,19
GSE154763::ESCA-P20190916-N::Mono/Macro,GSE154763,P20190916,ESCA-P20190916-N,Normal,Mono/Macro,1028
GSE154763::ESCA-P20190916-T::DC,GSE154763,P20190916,ESCA-P20190916-T,Tumor,DC,27
GSE154763::ESCA-P20190916-T::Mast,GSE154763,P20190916,ESCA-P20190916-T,Tumor,Mast,149
GSE154763::ESCA-P20190916-T::Mono/Macro,GSE154763,P20190916,ESCA-P20190916-T,Tumor,Mono/Macro,189
